Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Food Products,240203.14,706600.06,1.09,0.53,1.51,2.52,-0.71,8.44,8.06,538,45.35,18.59,3.90,32.16,350.00,0.00,49170.78,597151.86,109465.99,8.44,8.06,538,45.35,18.59,3.90,32.16,350.00,0.00,49170.78,597151.86,109465.99,China,2002
Footwear,40386.93,12655824.05,0.18,9.48,1.26,-3.53,-12.79,8.74,13.56,168,65.48,20.24,3.57,10.71,60.08,0.00,97281.47,12041269.02,613802.57,8.74,13.56,168,65.48,20.24,3.57,10.71,60.08,0.00,97281.47,12041269.02,613802.57,China,2002
Fuels,94806.68,458515.53,0.43,0.34,0.08,5.03,19.56,1.30,1.17,41,7.32,48.78,34.15,9.76,18.16,0.00,235621.37,236574.72,220616.59,1.30,1.17,41,7.32,48.78,34.15,9.76,18.16,0.00,235621.37,236574.72,220616.59,China,2002
Hides and Skins,455905.79,4907414.60,2.06,3.68,1.54,1.44,0.81,3.71,8.08,212,79.72,19.81,0.00,0.47,20.00,0.00,0.00,4874324.31,24712.11,3.71,8.08,212,79.72,19.81,0.00,0.47,20.00,0.00,0.00,4874324.31,24712.11,China,2002
Mach and Elec,8046005.67,46487922.98,36.36,34.82,0.97,14.04,-0.90,1.44,0.93,1360,43.97,55.66,0.29,0.07,15.00,0.00,11254.42,17825748.05,28652235.16,1.44,0.93,1360,43.97,55.66,0.29,0.07,15.00,0.00,11254.42,17825748.05,28652235.16,China,2002
Metals,1382540.28,6575391.50,6.25,4.92,0.52,9.52,0.66,2.27,2.68,822,73.72,20.56,3.41,2.31,16.39,0.00,445018.28,5570043.21,1003835.34,2.27,2.68,822,73.72,20.56,3.41,2.31,16.39,0.00,445018.28,5570043.21,1003835.34,China,2002
Minerals,79268.11,318085.39,0.36,0.24,0.19,1.98,6.48,0.43,0.26,77,9.09,85.71,1.30,3.90,9.42,0.00,1372.99,66283.09,251827.56,0.43,0.26,77,9.09,85.71,1.30,3.90,9.42,0.00,1372.99,66283.09,251827.56,China,2002
Miscellaneous,1396762.60,31878636.41,6.31,23.88,1.39,13.39,-6.26,4.05,2.22,830,40.60,40.48,11.33,7.59,199.26,0.00,514042.31,9080700.36,22795186.78,4.05,2.22,830,40.60,40.48,11.33,7.59,199.26,0.00,514042.31,9080700.36,22795186.78,China,2002
Plastic or Rubber,1082655.36,4893936.10,4.89,3.67,0.77,7.01,2.55,3.63,3.77,343,77.55,21.87,0.00,0.58,14.00,0.00,0.00,4786084.64,108365.62,3.63,3.77,343,77.55,21.87,0.00,0.58,14.00,0.00,0.00,4786084.64,108365.62,China,2002
Stone and Glass,189284.80,3971418.92,0.86,2.97,0.69,9.16,-2.41,3.38,5.06,365,62.74,35.62,0.00,1.64,38.00,0.00,0.00,3195006.28,775976.33,3.38,5.06,365,62.74,35.62,0.00,1.64,38.00,0.00,0.00,3195006.28,775976.33,China,2002
