Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Intermediate goods,28300782.91,38669389.63,18.73,7.14,0.89,15.15,10.26,4.03,2.94,3506,58.70,36.51,0.88,3.91,182.34,0.00,545144.52,20469283.60,12505508.06,4.03,2.94,3506,58.70,36.51,0.88,3.91,182.34,0.00,545144.52,20469283.60,12505508.06,China,2021
Raw materials,43031697.73,3704537.65,28.49,0.68,0.94,19.93,26.90,1.84,1.45,490,22.04,50.61,1.22,26.12,350.00,0.00,223.00,1636215.53,644766.14,1.84,1.45,490,22.04,50.61,1.22,26.12,350.00,0.00,223.00,1636215.53,644766.14,China,2021
Animal,5566717.48,1685294.30,3.69,0.31,1.58,5.06,15.40,1.30,0.15,203,31.53,54.68,0.49,13.30,78.42,0.00,4087.43,185646.45,1387182.20,1.30,0.15,203,31.53,54.68,0.49,13.30,78.42,0.00,4087.43,185646.45,1387182.20,China,2021
Chemicals,17485710.41,21462865.95,11.57,3.96,1.74,12.08,10.38,2.85,2.77,1509,68.65,30.48,0.07,0.80,6.50,0.00,71647.42,12200958.35,6015101.18,2.85,2.77,1509,68.65,30.48,0.07,0.80,6.50,0.00,71647.42,12200958.35,6015101.18,China,2021
Food Products,2016866.35,2728506.28,1.34,0.50,1.30,8.50,17.59,6.99,6.55,591,43.82,22.17,1.52,32.49,350.00,0.00,381677.25,2231387.08,431942.34,6.99,6.55,591,43.82,22.17,1.52,32.49,350.00,0.00,381677.25,2231387.08,431942.34,China,2021
Footwear,142190.68,17142862.18,0.09,3.17,0.23,8.96,-12.78,7.61,12.64,197,69.04,17.77,3.05,10.15,49.57,0.00,1001026.79,15098273.09,2044589.09,7.61,12.64,197,69.04,17.77,3.05,10.15,49.57,0.00,1001026.79,15098273.09,2044589.09,China,2021
Fuels,15397138.05,160880.61,10.19,0.03,0.79,21.71,46.15,0.19,0.02,30,0.00,90.00,0.00,10.00,19.53,0.00,0.00,4084.98,156795.64,0.19,0.02,30,0.00,90.00,0.00,10.00,19.53,0.00,0.00,4084.98,156795.64,China,2021
Hides and Skins,803589.38,3933353.40,0.53,0.73,0.97,20.33,17.20,4.58,10.36,186,86.56,12.90,0.00,0.54,20.00,0.00,0.00,3919573.80,13779.60,4.58,10.36,186,86.56,12.90,0.00,0.54,20.00,0.00,0.00,3919573.80,13779.60,China,2021
Mach and Elec,30511680.30,250340903.45,20.20,46.23,0.65,9.77,4.12,1.34,0.62,1320,39.17,60.76,0.00,0.08,15.00,0.00,0.00,58710602.35,182784671.65,1.34,0.62,1320,39.17,60.76,0.00,0.08,15.00,0.00,0.00,58710602.35,182784671.65,China,2021
Metals,3961091.69,31852853.96,2.62,5.88,0.50,14.31,18.05,1.70,2.45,934,41.54,53.43,3.10,1.93,15.00,0.00,1316604.51,23518448.30,8334405.66,1.70,2.45,934,41.54,53.43,3.10,1.93,15.00,0.00,1316604.51,23518448.30,8334405.66,China,2021
Minerals,1539622.61,421328.23,1.02,0.08,0.15,20.41,53.63,0.40,0.09,92,8.70,85.87,0.00,5.43,35.47,0.00,0.00,60223.65,358925.12,0.40,0.09,92,8.70,85.87,0.00,5.43,35.47,0.00,0.00,60223.65,358925.12,China,2021
Miscellaneous,18214984.10,102027994.15,12.06,18.84,1.75,8.43,9.41,3.79,1.44,825,33.94,47.27,6.67,12.12,182.34,0.00,430120.91,27859793.09,63849951.30,3.79,1.44,825,33.94,47.27,6.67,12.12,182.34,0.00,430120.91,27859793.09,63849951.30,China,2021
Plastic or Rubber,6850558.46,32878060.20,4.53,6.07,1.20,7.73,5.90,3.60,4.19,361,77.84,22.16,0.00,0.00,14.00,0.00,0.00,31139671.15,178143.32,3.60,4.19,361,77.84,22.16,0.00,0.00,14.00,0.00,0.00,31139671.15,178143.32,China,2021
Stone and Glass,4529696.07,9588944.15,3.00,1.77,0.43,45.18,13.33,3.22,5.82,377,63.13,35.01,0.00,1.86,38.00,0.00,0.00,8811541.15,777269.23,3.22,5.82,377,63.13,35.01,0.00,1.86,38.00,0.00,0.00,8811541.15,777269.23,China,2021
Textiles and Clothing,2049997.46,37466548.82,1.36,6.92,0.93,9.86,-0.81,8.91,10.34,1612,80.33,12.90,1.55,5.21,32.00,0.00,39460.49,36544488.67,764325.68,8.91,10.34,1612,80.33,12.90,1.55,5.21,32.00,0.00,39460.49,36544488.67,764325.68,China,2021
Transportation,13283475.95,18707756.16,8.79,3.45,2.36,8.28,8.54,2.14,1.83,219,48.86,51.14,0.00,0.00,25.00,0.00,0.00,15551009.12,2154595.67,2.14,1.83,219,48.86,51.14,0.00,0.00,25.00,0.00,0.00,15551009.12,2154595.67,China,2021
Vegetable,23998845.94,1595849.92,15.89,0.29,3.35,19.98,35.53,2.71,2.15,436,31.42,27.29,1.38,39.91,29.80,0.00,223.00,1394717.42,208212.95,2.71,2.15,436,31.42,27.29,1.38,39.91,29.80,0.00,223.00,1394717.42,208212.95,China,2021
Wood,4713012.49,9537350.47,3.12,1.76,1.36,8.93,1.54,0.67,0.84,451,18.63,80.49,0.00,0.89,18.00,0.00,0.00,2075080.19,5616047.99,0.67,0.84,451,18.63,80.49,0.00,0.89,18.00,0.00,0.00,2075080.19,5616047.99,China,2021
All Products,153837022.41,575688091.17,100.00,100.00,1.00,0.68,-0.22,3.61,2.86,9270,54.75,38.12,0.01,7.12,350.00,0.00,56900.61,243669575.16,227970641.15,3.61,2.86,9270,54.75,38.12,0.01,7.12,350.00,0.00,56900.61,243669575.16,227970641.15,China,2022
Capital goods,41446947.54,259797138.45,26.94,45.13,0.87,-4.12,-2.85,1.29,0.57,1503,37.59,62.14,0.00,0.27,25.00,0.00,0.00,52016106.63,130251757.91,1.29,0.57,1503,37.59,62.14,0.00,0.27,25.00,0.00,0.00,52016106.63,130251757.91,China,2022
Consumer goods,24879931.41,254514935.44,16.17,44.21,1.62,1.24,-3.78,5.00,4.79,3266,62.46,27.31,0.03,10.20,350.00,0.00,56900.61,153065188.04,72510797.56,5.00,4.79,3266,62.46,27.31,0.03,10.20,350.00,0.00,56900.61,153065188.04,72510797.56,China,2022
Intermediate goods,32393718.08,46811432.03,21.06,8.13,0.93,2.27,3.78,3.93,3.04,3544,59.99,35.89,0.00,4.12,118.41,0.00,0.00,23887476.91,11848029.80,3.93,3.04,3544,59.99,35.89,0.00,4.12,118.41,0.00,0.00,23887476.91,11848029.80,China,2022
Raw materials,47917465.94,4568797.01,31.15,0.79,0.92,5.77,3.30,1.79,1.51,505,23.56,50.89,0.00,25.54,350.00,0.00,0.00,1823959.11,928757.48,1.79,1.51,505,23.56,50.89,0.00,25.54,350.00,0.00,0.00,1823959.11,928757.48,China,2022
Animal,6218283.77,2000442.90,4.04,0.35,1.58,4.04,3.10,0.75,0.13,140,17.86,73.57,0.00,8.57,24.55,0.00,0.00,191324.52,1680651.47,0.75,0.13,140,17.86,73.57,0.00,8.57,24.55,0.00,0.00,191324.52,1680651.47,China,2022
Chemicals,20401660.32,32560306.39,13.26,5.66,1.80,0.44,1.22,2.90,2.28,1523,69.01,30.14,0.07,0.79,8.20,0.00,56900.61,15203393.68,12437572.27,2.90,2.28,1523,69.01,30.14,0.07,0.79,8.20,0.00,56900.61,15203393.68,12437572.27,China,2022
Food Products,2049167.55,3309338.94,1.33,0.57,1.25,1.60,-1.01,7.10,7.50,643,45.88,20.53,0.00,33.59,350.00,0.00,0.00,2776492.11,503119.19,7.10,7.50,643,45.88,20.53,0.00,33.59,350.00,0.00,0.00,2776492.11,503119.19,China,2022
Footwear,86884.74,20318934.51,0.06,3.53,0.27,-1.36,4.58,7.77,13.28,197,72.08,17.77,0.00,10.15,57.25,0.00,0.00,18203101.44,2115833.08,7.77,13.28,197,72.08,17.77,0.00,10.15,57.25,0.00,0.00,18203101.44,2115833.08,China,2022
Fuels,13472676.83,247029.69,8.76,0.04,0.54,14.91,-5.55,0.18,0.06,27,0.00,88.89,0.00,11.11,16.97,0.00,0.00,40733.95,206295.73,0.18,0.06,27,0.00,88.89,0.00,11.11,16.97,0.00,0.00,40733.95,206295.73,China,2022
Hides and Skins,673201.17,4504652.32,0.44,0.78,1.12,-8.81,-2.91,4.35,10.75,195,85.13,14.36,0.00,0.51,20.00,0.00,0.00,4492367.86,12284.46,4.35,10.75,195,85.13,14.36,0.00,0.51,20.00,0.00,0.00,4492367.86,12284.46,China,2022
Mach and Elec,30872838.37,258664731.04,20.07,44.93,0.68,-1.66,-0.68,1.34,0.90,1325,39.77,60.15,0.00,0.08,15.00,0.00,0.00,66869342.44,125452141.50,1.34,0.90,1325,39.77,60.15,0.00,0.08,15.00,0.00,0.00,66869342.44,125452141.50,China,2022
Metals,4602399.63,34520715.30,2.99,6.00,0.59,1.73,9.57,1.82,2.59,927,44.55,53.51,0.00,1.94,23.05,0.00,0.00,24720048.99,9558988.45,1.82,2.59,927,44.55,53.51,0.00,1.94,23.05,0.00,0.00,24720048.99,9558988.45,China,2022
Minerals,1500834.46,644334.20,0.98,0.11,0.18,-7.39,-0.73,0.32,0.11,96,7.29,87.50,0.00,5.21,29.64,0.00,0.00,94589.19,546277.94,0.32,0.11,96,7.29,87.50,0.00,5.21,29.64,0.00,0.00,94589.19,546277.94,China,2022
Miscellaneous,18721917.30,103001707.49,12.17,17.89,2.17,-19.25,-10.83,2.97,1.01,785,41.02,46.24,0.00,12.74,118.41,0.00,0.00,18947582.71,64446973.85,2.97,1.01,785,41.02,46.24,0.00,12.74,118.41,0.00,0.00,18947582.71,64446973.85,China,2022
Plastic or Rubber,8928068.72,33540829.36,5.80,5.83,1.57,-0.96,12.46,3.57,4.17,363,77.69,22.31,0.00,0.00,14.00,0.00,0.00,27907170.40,179024.05,3.57,4.17,363,77.69,22.31,0.00,0.00,14.00,0.00,0.00,27907170.40,179024.05,China,2022
Stone and Glass,3612494.01,10272087.81,2.35,1.78,0.31,12.83,-5.47,3.25,5.83,368,62.77,35.33,0.00,1.90,38.00,0.00,0.00,9256149.54,812128.81,3.25,5.83,368,62.77,35.33,0.00,1.90,38.00,0.00,0.00,9256149.54,812128.81,China,2022
Textiles and Clothing,3603716.30,37996945.68,2.34,6.60,1.75,-5.73,28.50,8.97,10.60,1549,82.12,13.11,0.00,4.78,32.00,0.00,0.00,35301366.07,562707.69,8.97,10.60,1549,82.12,13.11,0.00,4.78,32.00,0.00,0.00,35301366.07,562707.69,China,2022
Transportation,7367559.33,21902448.19,4.79,3.80,2.48,-3.81,-2.40,2.31,1.66,214,50.00,50.00,0.00,0.00,25.00,0.00,0.00,16787263.38,2763601.26,2.31,1.66,214,50.00,50.00,0.00,0.00,25.00,0.00,0.00,16787263.38,2763601.26,China,2022
Vegetable,27237354.25,1795274.58,17.71,0.31,3.32,4.51,2.98,3.16,2.30,463,33.26,26.35,0.00,40.39,131.80,0.00,0.00,1490365.85,216416.49,3.16,2.30,463,33.26,26.35,0.00,40.39,131.80,0.00,0.00,1490365.85,216416.49,China,2022
Wood,4487965.67,10408312.79,2.92,1.81,1.39,-1.70,-1.52,0.62,0.49,455,17.80,81.32,0.00,0.88,18.00,0.00,0.00,1388283.03,6476624.90,0.62,0.49,455,17.80,81.32,0.00,0.88,18.00,0.00,0.00,1388283.03,6476624.90,China,2022
All Products,178919985.24,230816137.68,100.00,100.00,1.00,5.54,3.43,0.18,0.11,9190,0.39,97.63,0.01,1.97,247.47,0.00,5291.05,2221673.78,215556057.71,4.04,3.17,9190,57.49,30.90,1.50,10.11,350.00,0.00,17302919.79,139623053.48,78154678.01,Canada,2000
Capital goods,87662642.08,62775583.18,49.00,27.20,1.09,4.00,2.45,0.00,0.00,1642,0.00,99.70,0.00,0.30,0.00,0.00,0.00,0.00,63254414.69,1.59,4.53,1642,43.61,55.42,0.37,0.61,25.00,0.00,7434.41,36854388.44,26400026.25,Canada,2000
Consumer goods,48481746.12,81557474.03,27.10,35.33,0.96,6.30,4.80,0.34,0.22,3481,0.69,95.15,0.00,4.17,247.47,0.00,0.00,1108085.39,79859175.40,5.45,3.16,3481,63.11,21.69,2.90,12.30,350.00,0.00,4056070.23,59640436.51,21326824.28,Canada,2000
Intermediate goods,29789208.61,51090331.68,16.65,22.13,1.09,5.54,4.07,0.14,0.04,3306,0.18,99.18,0.03,0.60,234.36,0.00,5291.05,125482.96,52137849.23,4.71,1.76,3306,66.97,23.77,0.57,8.68,330.44,0.00,133037.56,25872783.12,26390549.08,Canada,2000
Raw materials,7795668.72,20675874.20,4.36,8.96,0.54,17.81,3.75,0.19,0.18,761,0.79,97.77,0.00,1.45,140.47,0.00,0.00,988105.42,20304618.39,1.97,1.87,761,20.50,51.12,1.58,26.81,350.00,0.00,13106377.59,17255445.41,4037278.41,Canada,2000
Animal,1516481.07,4578405.48,0.85,1.98,0.87,5.07,6.15,2.38,1.09,466,1.72,81.97,0.00,16.31,234.36,0.00,0.00,1033357.82,3602997.33,4.39,2.47,466,35.84,26.39,0.21,37.55,234.36,0.00,6889.44,2910573.23,1725781.93,Canada,2000
Chemicals,11428734.07,7544270.39,6.39,3.27,1.08,4.17,3.72,0.00,0.00,1314,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,7784564.59,3.27,1.98,1314,60.58,31.28,0.00,8.14,14.31,0.00,0.00,3359289.75,4425274.85,Canada,2000
Food Products,3800818.00,4350661.32,2.12,1.88,0.96,1.92,2.45,2.30,4.17,679,4.12,82.47,0.15,13.25,247.47,0.00,5291.05,1181648.77,3273543.64,8.23,7.63,679,45.21,17.53,2.36,34.90,350.00,0.00,218227.03,3513715.42,941476.98,Canada,2000
Footwear,258473.90,132367.14,0.14,0.06,0.13,2.30,-4.34,0.00,0.00,163,0.00,99.39,0.00,0.61,0.00,0.00,0.00,0.00,134244.64,9.14,8.67,163,66.26,19.02,1.84,12.88,61.43,0.00,1264.45,104323.52,29921.12,Canada,2000
Fuels,2824347.84,33152434.10,1.58,14.36,0.33,32.02,32.50,0.00,0.00,50,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,31978416.51,0.51,3.00,50,4.00,72.00,20.00,4.00,32.49,0.00,16778714.00,16779118.31,15199298.19,Canada,2000
Hides and Skins,302103.63,312170.54,0.17,0.14,0.32,7.37,-0.42,0.00,0.00,147,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,318084.50,3.37,3.39,147,77.55,21.77,0.00,0.68,20.00,0.00,0.00,195805.17,122279.34,Canada,2000
Mach and Elec,61712176.04,35705688.83,34.49,15.47,0.96,5.51,3.71,0.00,0.00,1388,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,35963349.90,1.41,0.81,1388,43.73,55.91,0.29,0.07,21.21,0.00,42543.03,14447338.39,21516011.51,Canada,2000
Metals,13126761.10,14240333.02,7.34,6.17,1.09,9.95,8.25,0.00,0.00,937,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,14474764.40,2.44,2.06,937,75.77,19.00,2.03,3.20,18.63,0.00,134419.92,12382985.09,2091779.30,Canada,2000
Minerals,873209.54,976707.46,0.49,0.42,0.75,6.34,1.08,0.00,0.00,96,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1092924.34,0.23,0.01,96,6.25,86.46,6.25,1.04,3.00,0.00,81362.24,88207.61,1004716.73,Canada,2000
Miscellaneous,11423656.43,9079235.54,6.38,3.93,0.74,4.25,-8.16,0.00,0.00,776,0.00,98.97,0.00,1.03,0.00,0.00,0.00,0.00,9214076.65,3.03,1.35,776,42.14,43.30,9.15,5.41,330.44,0.00,38316.78,3388735.38,5825341.27,Canada,2000
Plastic or Rubber,10085889.85,9033446.23,5.64,3.91,1.30,4.40,3.87,0.00,0.00,347,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,9226535.47,3.75,4.87,347,76.37,22.77,0.00,0.86,14.00,0.00,0.00,8685879.59,540655.89,Canada,2000
Stone and Glass,3181880.86,4411007.60,1.78,1.91,0.99,3.91,3.41,0.00,0.00,384,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,4493326.12,3.21,2.04,384,60.68,37.50,0.00,1.82,38.00,0.00,0.00,3045851.66,1447474.46,Canada,2000
Textiles and Clothing,3717472.27,3635054.11,2.08,1.57,0.68,3.46,1.39,0.02,0.00,1395,0.00,99.64,0.00,0.36,21.82,0.00,0.00,39.34,3681705.87,10.04,11.73,1395,86.59,5.38,0.43,7.60,33.40,0.00,74.69,3627057.45,54687.76,Canada,2000
Transportation,37747758.14,62014993.77,21.10,26.87,1.19,2.12,0.09,0.00,0.00,231,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,62484303.24,3.19,5.48,231,50.22,49.78,0.00,0.00,25.00,0.00,0.00,56733044.77,5751258.48,Canada,2000
Vegetable,3599387.32,2154285.39,2.01,0.93,0.97,2.04,4.20,0.03,0.02,427,0.00,99.77,0.00,0.23,40.68,0.00,0.00,6627.85,2244876.94,3.33,2.99,427,30.68,24.82,0.47,44.03,40.68,0.00,1108.23,1736764.67,514740.12,Canada,2000
Wood,8153201.71,24778650.61,4.56,10.74,1.32,4.40,4.13,0.00,0.00,390,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,25588343.57,1.00,0.46,390,47.69,50.26,0.00,2.05,18.00,0.00,0.00,8624363.47,16963980.10,Canada,2000
All Products,163421117.07,216234127.20,100.00,100.00,1.00,-3.92,-4.47,0.19,0.11,9169,0.34,97.70,0.00,1.96,248.87,0.00,0.00,1482760.46,203734064.70,3.99,3.13,9169,57.31,30.84,1.54,10.31,350.00,0.00,15207066.77,129859956.34,75356868.82,Canada,2001
Capital goods,76536243.47,54194288.55,46.83,25.06,1.09,-6.56,-6.71,0.00,0.00,1639,0.00,99.69,0.00,0.31,0.00,0.00,0.00,0.00,54445930.06,1.56,4.86,1639,43.50,55.52,0.37,0.61,25.00,0.00,9126.91,33315146.10,21130783.96,Canada,2001
Consumer goods,45800844.38,80408837.18,28.03,37.19,0.94,-1.19,-2.71,0.36,0.25,3459,0.69,95.11,0.00,4.19,248.87,0.00,0.00,1301113.94,80984265.97,5.52,2.93,3459,63.11,21.51,2.83,12.55,350.00,0.00,4556419.41,56581244.26,25704135.65,Canada,2001
Intermediate goods,28197773.75,48181058.70,17.25,22.28,1.10,-3.14,-3.17,0.13,0.04,3300,0.18,99.24,0.00,0.58,244.41,0.00,0.00,143693.27,49133159.45,4.51,1.70,3300,66.73,23.64,0.76,8.88,244.41,0.00,105498.20,24550414.55,24726438.17,Canada,2001
Raw materials,7744758.14,18690667.92,4.74,8.64,0.58,-2.55,0.31,0.22,0.01,771,0.13,98.44,0.00,1.43,148.85,0.00,0.00,37953.25,19170709.23,2.14,2.29,771,20.36,51.10,1.56,26.98,350.00,0.00,10536022.24,15413151.43,3795511.04,Canada,2001
Animal,1506773.46,5258411.65,0.92,2.43,0.84,1.88,0.00,2.16,0.34,464,0.43,83.41,0.00,16.16,244.41,0.00,0.00,87260.86,5232283.74,4.35,2.54,464,35.34,26.08,0.22,38.36,244.41,0.00,6773.24,3509788.92,1809755.68,Canada,2001
Chemicals,11429495.98,7851802.80,6.99,3.63,1.04,2.31,-0.34,0.00,0.00,1333,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,8049085.43,3.24,1.88,1333,60.84,30.91,0.00,8.25,14.93,0.00,0.00,3413593.83,4635491.60,Canada,2001
Food Products,4052796.52,4713182.65,2.48,2.18,0.99,2.95,3.74,2.35,4.32,690,4.06,82.75,0.00,13.19,248.87,0.00,0.00,1386229.81,3436591.19,8.68,8.00,690,44.06,18.26,2.32,35.36,350.00,0.00,297743.70,3881638.85,941182.15,Canada,2001
Footwear,263815.70,140318.72,0.16,0.06,0.12,1.05,-2.28,0.00,0.00,160,0.00,99.38,0.00,0.63,0.00,0.00,0.00,0.00,141380.87,9.28,9.54,160,66.25,18.75,1.88,13.13,60.47,0.00,1261.59,112613.35,28767.52,Canada,2001
Fuels,3630683.02,33452489.05,2.22,15.47,0.44,-0.37,13.91,0.00,0.00,50,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,34722355.18,0.42,2.11,50,4.00,72.00,20.00,4.00,24.04,0.00,14562230.76,14562556.52,20159798.66,Canada,2001
Hides and Skins,266899.05,292402.92,0.16,0.14,0.30,-1.03,-5.62,0.00,0.00,141,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,296583.75,3.48,3.31,141,76.60,22.70,0.00,0.71,20.00,0.00,0.00,183790.95,112792.80,Canada,2001
Mach and Elec,52373766.66,28331057.33,32.05,13.10,0.98,-8.07,-7.67,0.00,0.00,1389,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,28554295.24,1.41,0.96,1389,43.63,56.01,0.29,0.07,15.93,0.00,48755.66,13283630.60,15270664.64,Canada,2001
Metals,10911631.93,13049855.32,6.68,6.04,1.12,-9.48,-8.86,0.00,0.00,932,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,13284009.65,2.31,1.91,932,76.39,18.35,2.04,3.22,18.59,0.00,109882.12,11408746.66,1875263.00,Canada,2001
Minerals,826199.08,931467.57,0.51,0.43,0.75,-2.55,-2.92,0.00,0.00,100,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1040852.40,0.22,0.02,100,6.00,87.00,6.00,1.00,3.00,0.00,138707.39,145498.88,895353.53,Canada,2001
Miscellaneous,10624565.97,7859966.69,6.50,3.63,0.68,-1.64,-5.75,0.00,0.00,753,0.00,99.07,0.00,0.93,0.00,0.00,0.00,0.00,7985758.32,2.88,1.03,753,42.23,42.76,9.56,5.44,156.66,0.00,41307.73,2610028.51,5375729.81,Canada,2001
Plastic or Rubber,9625088.56,9194236.43,5.89,4.25,1.30,-2.28,-2.83,0.00,0.00,346,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,9382306.35,3.68,4.77,346,75.72,23.41,0.00,0.87,14.00,0.00,0.00,8819267.98,563038.38,Canada,2001
Stone and Glass,2993784.25,3283830.28,1.83,1.52,0.98,-2.60,-3.81,0.00,0.00,382,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3360402.47,3.27,2.41,382,61.26,36.91,0.00,1.83,38.00,0.00,0.00,2580978.65,779423.82,Canada,2001
Textiles and Clothing,3435251.76,3451036.29,2.10,1.60,0.64,-0.84,-4.66,0.02,0.00,1382,0.00,99.64,0.00,0.36,24.08,0.00,0.00,27.85,3488689.16,9.80,11.37,1382,86.11,5.35,0.58,7.96,32.80,0.00,64.76,3436078.65,52638.36,Canada,2001
Transportation,34739360.84,57897992.73,21.26,26.78,1.16,-2.78,-4.38,0.00,0.00,228,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,58154764.76,3.00,5.42,228,50.00,50.00,0.00,0.00,25.00,0.00,0.00,51373752.50,6781012.27,Canada,2001
Vegetable,3834408.83,2317410.78,2.35,1.07,1.01,2.38,4.02,0.23,0.03,429,0.23,99.53,0.00,0.23,131.80,0.00,0.00,9241.94,2401554.09,3.69,3.88,429,30.54,25.17,0.47,43.82,131.80,0.00,339.81,1897587.51,513208.52,Canada,2001
Wood,7787164.86,23450412.65,4.77,10.84,1.33,-2.25,-2.69,0.00,0.00,390,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,24203152.07,0.88,0.43,390,47.95,50.00,0.00,2.05,18.00,0.00,0.00,8640403.98,15562748.09,Canada,2001
All Products,160918224.63,212398395.08,100.00,100.00,1.00,0.18,-0.61,0.16,0.11,9616,0.31,97.91,0.05,1.73,246.47,0.00,121571.40,1587109.42,197049407.82,3.96,3.18,9616,57.62,30.53,1.90,9.94,350.00,0.00,16341868.88,133487953.38,65148563.86,Canada,2002
Capital goods,73364311.29,51974184.51,45.59,24.47,1.10,-1.48,-1.97,0.00,0.00,1638,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,51967833.43,1.53,5.21,1638,42.55,56.47,0.67,0.31,25.00,0.00,20959.39,34078954.01,17888879.41,Canada,2002
Consumer goods,47908319.42,77851001.16,29.77,36.65,0.93,3.45,2.42,0.35,0.28,3581,0.67,95.36,0.00,3.97,246.47,0.00,0.00,1414435.64,77595663.49,5.41,2.85,3581,62.41,21.59,3.60,12.40,350.00,0.00,4464835.65,57272921.57,21737177.56,Canada,2002
Intermediate goods,27082902.67,46971705.61,16.83,22.11,1.07,-0.34,-2.25,0.11,0.02,3494,0.17,99.23,0.14,0.46,240.36,0.00,121571.40,140419.64,46531640.57,4.41,1.61,3494,67.12,23.35,1.03,8.50,240.36,0.00,228170.84,24896804.68,21775255.53,Canada,2002
Raw materials,8006474.31,20479122.19,4.98,9.64,0.62,-0.76,1.47,0.11,0.00,786,0.00,98.98,0.00,1.02,151.92,0.00,0.00,32254.15,20355250.73,2.15,2.29,786,22.01,50.51,0.89,26.59,350.00,0.00,11627903.00,16753686.30,3633818.57,Canada,2002
Animal,1409101.75,5454940.77,0.88,2.57,0.84,-2.76,-3.92,2.10,0.25,482,0.41,83.82,0.00,15.77,240.36,0.00,0.00,70810.79,5384905.82,4.24,2.45,482,35.68,27.39,0.21,36.72,240.36,0.00,8592.57,3624300.30,1831416.32,Canada,2002
Chemicals,11693943.37,8180879.91,7.27,3.85,1.03,2.35,1.13,0.00,0.00,1387,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,8185283.64,3.09,1.67,1387,61.21,31.07,0.00,7.71,16.27,0.00,0.00,3252440.91,4932842.72,Canada,2002
Food Products,4276716.00,5115975.67,2.66,2.41,0.99,2.80,2.27,1.87,4.15,717,3.91,83.26,0.70,12.13,246.47,0.00,121571.40,1500531.30,3614533.73,8.14,7.90,717,44.21,18.27,2.93,34.59,350.00,0.00,438326.49,3986284.79,1128780.24,Canada,2002
Footwear,248966.02,144416.44,0.15,0.07,0.10,1.95,-7.47,0.00,0.00,161,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,145142.41,9.51,9.19,161,67.08,18.01,3.73,11.18,60.08,0.00,4305.42,113896.77,31245.64,Canada,2002
Fuels,2665475.85,28861254.15,1.66,13.59,0.39,-6.13,-12.15,0.00,0.00,66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,30138450.09,0.89,1.67,66,7.58,54.55,30.30,7.58,18.16,0.00,15625338.41,15625757.49,14512692.60,Canada,2002
Hides and Skins,256435.18,261974.27,0.16,0.12,0.29,0.08,-1.56,0.00,0.00,207,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,262039.55,3.77,3.78,207,79.23,20.29,0.00,0.48,20.00,0.00,0.00,233617.84,28421.71,Canada,2002
Mach and Elec,48007996.22,25439260.01,29.83,11.98,0.98,-3.19,-4.24,0.00,0.00,1409,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,25484251.47,1.40,1.05,1409,43.15,56.49,0.28,0.07,13.09,0.00,27560.91,13249504.70,12234746.77,Canada,2002
